country,region,income_group,year,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct,policy_milestone
Belgium,Europe,High,2008,10709711.0,408290544814.0,83.06,93.66,0.04,0.64,4.42,0.41,45.57,33.07,0.048,0.771,5.321,39.815,60.185,218.28,0.31,300.0,30.6,26.6,
Belgium,Europe,High,2009,10812936.0,399489943721.0,89.76,87.92,0.17,0.99,5.44,0.33,47.22,37.1,0.189,1.103,6.061,41.332,58.668,216.91,0.52,325.0,54.7,23.1,
Belgium,Europe,High,2010,10936619.0,411261674695.0,93.04,93.59,0.58,1.3,6.57,0.31,47.94,38.53,0.623,1.397,7.061,41.412,58.588,212.81,0.85,241.2,31.3,20.8,
Belgium,Europe,High,2011,11038624.0,420934235947.0,89.28,91.82,1.21,2.32,8.36,0.2,48.23,32.69,1.355,2.599,9.364,36.615,63.385,192.88,1.59,108.6,78.5,27.2,
Belgium,Europe,High,2012,11107522.0,424045845634.0,81.51,91.45,2.15,2.76,10.51,0.36,40.29,30.71,2.638,3.386,12.894,37.676,62.324,202.68,2.21,77.7,19.0,25.7,
Belgium,Europe,High,2013,11160277.0,425993254852.0,81.95,91.59,2.64,3.67,11.72,0.38,42.64,27.59,3.221,4.478,14.301,33.667,66.333,184.26,2.84,22.8,33.0,11.5,
Belgium,Europe,High,2014,11210113.0,432717694183.0,71.2,88.8,2.89,4.62,12.21,0.29,33.7,25.29,4.059,6.489,17.149,35.52,64.48,189.89,3.38,9.5,25.9,4.2,
Belgium,Europe,High,2015,11275332.0,441551470878.0,68.43,89.43,3.06,5.57,14.44,0.32,26.1,27.89,4.472,8.14,21.102,40.757,59.243,215.55,3.88,5.9,20.6,18.3,
Belgium,Europe,High,2016,11332707.0,447144517813.0,84.31,90.49,3.1,5.42,14.25,0.37,43.52,26.54,3.677,6.429,16.902,31.479,68.521,158.7,3.83,1.3,-2.7,-1.3,
Belgium,Europe,High,2017,11376583.0,454386396677.0,85.34,91.36,3.31,6.52,15.8,0.27,42.23,27.31,3.879,7.64,18.514,32.001,67.999,159.48,4.42,6.8,20.3,10.9,
Belgium,Europe,High,2018,11428608.0,462533269863.0,73.87,91.2,3.9,7.57,17.16,0.29,28.6,28.11,5.28,10.248,23.23,38.053,61.947,186.95,5.16,17.8,16.1,8.6,
Belgium,Europe,High,2019,11490623.0,472897988852.0,92.69,90.84,4.25,9.75,19.45,0.3,43.52,29.72,4.585,10.519,20.984,32.064,67.936,156.54,6.3,9.0,28.8,13.3,
Belgium,Europe,High,2020,11540102.0,447544069854.0,88.29,87.96,5.11,12.81,23.45,0.27,34.43,30.41,5.788,14.509,26.56,34.443,65.557,166.61,8.06,20.2,31.4,20.6,
Belgium,Europe,High,2021,11570843.0,474995824355.0,99.4,91.52,5.62,12.0,22.75,0.42,50.33,26.32,5.654,12.072,22.887,26.479,73.521,131.79,7.93,10.0,-6.3,-3.0,Nuclear phase-out + offshore wind scale-up
Belgium,Europe,High,2022,11641814.0,489678394377.0,94.33,86.8,6.88,12.35,24.43,0.27,43.88,26.02,7.294,13.092,25.898,27.584,72.416,139.4,8.65,22.4,2.9,7.4,
Belgium,Europe,High,2023,11712891.0,,82.13,83.77,7.83,15.44,27.46,0.4,32.93,21.74,9.534,18.799,33.435,26.47,73.53,134.67,10.47,13.8,25.0,12.4,
Belgium,Europe,High,2024,11738761.0,,76.01,86.35,8.56,14.06,26.78,0.55,31.25,17.98,11.262,18.498,35.232,23.655,76.345,126.96,10.18,9.3,-8.9,-2.5,
Belgium,Europe,High,2025,11758601.0,,72.89,86.56,10.45,13.72,28.38,0.44,24.11,20.4,14.337,18.823,38.935,27.987,72.013,149.82,10.88,22.1,-2.4,6.0,
Brazil,South America,Upper-middle,2000,174018278.0,1739728033832.0,348.93,391.92,0.0,0.0,312.26,304.4,6.05,30.62,0.0,0.0,89.491,8.775,91.225,89.45,0.0,,,,
Brazil,South America,Upper-middle,2001,176301201.0,1785513006345.0,328.55,366.4,0.0,0.03,276.93,267.88,14.28,37.34,0.0,0.009,84.289,11.365,88.635,105.74,0.01,,inf,-11.3,
